amount_minor,payment_failure_count,successful_payment_count,retry_count,customer_tenure_days,historical_recovery_count,historical_recovery_success_count,payment_hour,payment_day_of_week,preferred_payment_method,failure_reason,ground_truth_prob,recovered
279929,2,9,2,187,0,0,11,3,upi,gateway_error,0.7214,1
3057347,4,15,1,52,1,1,10,1,unknown,gateway_error,0.7313,0
894094,4,11,2,87,2,2,10,6,card,user_abandoned,0.4417,1
372005,1,1,3,109,2,0,6,0,card,gateway_error,0.39,0
4746983,4,8,2,225,3,3,11,2,card,user_abandoned,0.4183,0
4829878,3,2,1,248,3,0,15,6,unknown,checkout_abandoned,0.445,0
4051566,4,14,0,69,2,1,4,2,unknown,insufficient_funds,0.2472,0
1557838,3,2,1,120,1,0,1,1,card,user_abandoned,0.245,0
533476,4,18,1,67,2,0,21,1,upi,temporary_gateway_issue,0.95,1
3436953,1,17,3,61,3,2,15,6,upi,user_abandoned,0.4956,1
2228754,3,7,1,327,2,2,22,2,upi,user_abandoned,0.65,1
654089,0,16,1,191,3,2,14,0,card,gateway_error,0.805,0
2501125,3,7,3,189,2,1,10,6,upi,insufficient_funds,0.16,1
220223,1,6,3,151,4,3,5,3,wallet,timeout,0.315,1
4551135,5,6,0,286,3,2,12,4,upi,gateway_error,0.8659,1
1330960,3,2,2,96,1,1,18,1,netbanking,unknown,0.375,0
3329485,4,0,1,312,4,2,9,2,upi,insufficient_funds,0.155,0
1592969,4,3,3,309,2,0,23,0,card,insufficient_funds,0.05,0
2624336,5,4,0,263,3,1,18,1,upi,gateway_error,0.95,1
2756215,1,0,2,97,4,4,4,0,card,timeout,0.135,0
965029,2,14,3,113,1,1,20,1,upi,user_abandoned,0.6212,1
4849443,4,4,2,125,3,3,6,2,upi,insufficient_funds,0.21,0
3886907,0,12,2,132,4,4,10,0,netbanking,card_expired,0.435,1
4700519,1,7,1,121,4,1,13,2,upi,card_expired,0.6112,1
4479395,3,7,1,197,4,3,22,0,upi,gateway_error,0.8,1
3009604,3,4,3,294,0,0,20,1,upi,insufficient_funds,0.265,0
4613277,0,8,2,122,2,2,15,4,netbanking,gateway_error,0.685,1
488037,4,0,3,282,3,3,17,4,upi,gateway_error,0.315,1
1020115,1,3,3,260,3,2,20,6,card,gateway_error,0.6275,1
273875,0,2,2,39,3,2,22,3,upi,checkout_abandoned,0.635,1
1660385,4,1,3,54,4,2,22,3,upi,unknown,0.135,0
1973952,1,7,2,161,2,0,3,6,netbanking,gateway_error,0.4412,0
1393177,3,8,2,289,1,0,0,6,upi,temporary_gateway_issue,0.6895,1
4152250,1,1,2,200,3,2,21,5,card,gateway_error,0.66,0
1815928,5,13,2,276,2,2,14,2,upi,user_abandoned,0.5378,1
1440625,2,13,0,16,2,2,13,0,upi,insufficient_funds,0.5783,1
2736345,1,3,2,173,0,0,18,3,card,timeout,0.7475,0
747574,2,5,1,248,3,3,4,1,card,insufficient_funds,0.105,1
4020875,1,10,1,218,4,2,3,6,card,card_expired,0.3232,1
419025,2,2,1,87,2,2,12,4,card,temporary_gateway_issue,0.63,1
4935090,5,7,2,82,2,1,17,0,upi,gateway_error,0.6392,0
3872611,3,2,1,62,1,1,11,5,upi,gateway_error,0.695,1
1033642,4,13,0,287,0,0,22,4,upi,insufficient_funds,0.5426,1
77334,2,12,3,42,2,1,20,6,netbanking,checkout_abandoned,0.515,0
4086534,5,12,2,12,2,1,14,0,netbanking,temporary_gateway_issue,0.5821,0
3548943,2,1,1,321,4,2,22,6,upi,gateway_error,0.6717,0
3658585,3,12,0,234,4,3,8,3,upi,checkout_abandoned,0.805,1
3867788,2,18,3,329,1,1,3,3,upi,gateway_error,0.43,1
416521,5,5,0,131,1,1,4,2,wallet,gateway_error,0.55,1
1824405,5,15,1,115,1,0,8,5,netbanking,user_abandoned,0.5675,0
623551,0,1,0,218,4,1,12,0,upi,card_expired,0.775,1
4322361,3,7,3,137,4,1,9,5,upi,insufficient_funds,0.16,0
3135325,0,16,1,106,0,0,15,1,upi,card_expired,0.655,1
1687945,3,1,3,179,3,2,12,5,card,card_expired,0.0525,0
364613,2,9,0,16,3,3,3,6,card,gateway_error,0.6614,1
1589362,5,15,2,242,0,0,20,6,upi,timeout,0.8475,1
1659657,0,5,2,334,3,1,12,3,netbanking,timeout,0.685,1
3661550,2,1,2,226,4,1,20,2,card,unknown,0.3517,0
3205909,5,1,2,242,3,2,7,6,upi,unknown,0.2433,0
4441703,3,12,3,141,4,3,12,3,card,temporary_gateway_issue,0.495,0
2387463,5,14,2,199,0,0,14,4,upi,insufficient_funds,0.2929,0
641991,2,1,3,112,1,1,19,3,wallet,gateway_error,0.4817,1
3580561,0,6,1,127,0,0,19,0,upi,gateway_error,0.95,1
3815885,0,2,2,21,3,2,12,2,upi,insufficient_funds,0.385,0
2828322,5,7,3,147,4,4,22,6,card,timeout,0.4192,1
3866287,2,13,2,89,3,0,4,0,card,insufficient_funds,0.05,0
2494288,1,6,2,303,3,1,21,1,upi,insufficient_funds,0.485,0
2637527,3,6,2,203,1,1,21,1,unknown,user_abandoned,0.5683,1
2166328,3,0,3,85,3,0,5,3,upi,card_expired,0.05,0
175824,2,16,0,167,1,0,4,2,upi,card_expired,0.5361,1
584062,1,8,2,72,4,1,12,5,netbanking,gateway_error,0.6461,1
205574,0,12,2,298,4,4,4,2,upi,card_expired,0.335,1
3200231,4,18,1,9,1,1,12,2,upi,checkout_abandoned,0.6914,1
1606062,4,18,0,281,0,0,23,2,card,gateway_error,0.8614,1
2567424,2,16,3,258,4,0,19,3,upi,insufficient_funds,0.3761,0
4542454,1,9,1,275,0,0,22,0,unknown,unknown,0.52,0
1283996,1,9,2,238,4,0,7,3,upi,insufficient_funds,0.35,0
2081395,3,3,1,20,4,0,8,5,card,insufficient_funds,0.23,0
3789978,0,7,1,233,2,2,20,0,upi,gateway_error,0.95,1
1182550,5,19,2,221,3,0,18,5,upi,insufficient_funds,0.4621,0
431050,1,19,0,326,3,1,19,4,card,insufficient_funds,0.6575,1
1484269,5,17,0,17,0,0,14,4,card,gateway_error,0.8455,1
848045,4,13,1,89,3,0,21,6,netbanking,insufficient_funds,0.4726,0
4652003,5,17,2,196,0,0,9,6,upi,gateway_error,0.7055,0
4050195,0,13,3,350,4,1,10,0,card,card_expired,0.315,0
3185348,0,19,1,84,2,1,4,3,upi,unknown,0.455,0
4363729,5,14,3,87,2,1,8,5,card,insufficient_funds,0.0729,0
4028176,2,3,1,307,4,1,10,5,card,timeout,0.665,1
973521,1,12,1,338,1,0,18,6,upi,insufficient_funds,0.6281,1
4468167,2,7,2,154,1,1,1,6,card,gateway_error,0.4072,0
2719744,5,17,2,228,3,1,5,1,upi,unknown,0.2555,0
4046828,1,11,3,264,0,0,22,5,card,gateway_error,0.5358,1
4485651,3,13,3,223,2,0,20,3,card,gateway_error,0.6494,1
1624117,2,1,0,121,3,1,0,1,upi,insufficient_funds,0.3917,0
594757,2,17,2,173,4,0,2,3,wallet,timeout,0.4482,1
1178279,5,1,1,4,2,2,2,2,upi,temporary_gateway_issue,0.4133,0
2164183,4,10,1,342,0,0,13,5,wallet,gateway_error,0.705,1
4099173,5,8,0,128,0,0,19,2,upi,user_abandoned,0.8904,1
4310616,2,11,2,110,1,1,21,4,wallet,temporary_gateway_issue,0.7812,0
84413,1,16,1,355,3,0,4,4,upi,gateway_error,0.6844,1
2578199,4,14,0,37,4,4,16,0,upi,temporary_gateway_issue,0.9472,1
2116184,5,16,0,71,2,1,14,5,wallet,gateway_error,0.8417,1
1149433,5,17,1,289,0,0,5,6,upi,insufficient_funds,0.2255,0
643333,2,5,1,31,2,2,13,1,upi,timeout,0.805,1
1721195,2,16,3,268,4,0,13,2,netbanking,card_expired,0.2761,0
4717403,3,17,2,11,2,1,16,3,card,gateway_error,0.6325,0
1649854,5,7,3,344,3,2,7,5,card,gateway_error,0.4192,1
2618013,2,8,0,328,1,0,7,0,upi,gateway_error,0.95,1
3529943,0,5,1,32,2,2,18,3,card,gateway_error,0.95,1
1849966,4,4,3,57,1,0,8,2,upi,gateway_error,0.49,0
4860321,0,11,0,166,4,4,10,5,wallet,temporary_gateway_issue,0.925,1
4814114,4,10,2,188,1,0,12,6,card,gateway_error,0.585,0
1296322,5,0,1,342,2,0,12,2,card,insufficient_funds,0.055,0
2511380,3,10,3,19,2,1,23,5,upi,temporary_gateway_issue,0.5842,1
1539347,2,18,2,116,0,0,18,5,netbanking,gateway_error,0.8,1
1459960,2,8,3,184,2,0,20,2,card,temporary_gateway_issue,0.645,1
232590,2,1,0,270,1,1,18,2,netbanking,gateway_error,0.8417,1
3067343,5,11,2,33,0,0,4,3,upi,timeout,0.4756,1
2538261,4,3,3,10,2,2,15,0,netbanking,temporary_gateway_issue,0.365,0
304819,2,3,2,80,2,0,8,2,card,gateway_error,0.545,1
1429299,0,17,0,192,4,4,19,4,upi,temporary_gateway_issue,0.95,1
4545916,2,14,2,320,0,0,21,0,upi,gateway_error,0.8913,1
1235831,5,18,3,190,4,0,2,4,upi,card_expired,0.1389,0
767229,3,12,0,68,4,0,18,3,upi,unknown,0.855,1
2472791,0,18,1,348,4,1,4,2,upi,gateway_error,0.705,0
4928969,2,16,3,125,3,1,7,0,upi,timeout,0.6261,1
1248173,2,5,3,336,4,2,13,6,card,temporary_gateway_issue,0.465,0
3377070,1,15,0,59,1,0,23,2,card,gateway_error,0.9031,1
3820017,4,11,0,97,2,2,2,5,upi,gateway_error,0.7317,1
1226305,0,18,1,275,3,2,23,2,netbanking,user_abandoned,0.655,1
3654670,1,4,3,149,4,0,12,6,wallet,temporary_gateway_issue,0.495,1
1870526,3,16,0,278,2,1,10,0,upi,unknown,0.7197,1
3179913,4,0,1,265,0,0,7,2,upi,insufficient_funds,0.155,0
3185972,0,9,1,9,0,0,18,2,card,gateway_error,0.95,1
2702084,2,14,0,283,2,1,9,1,card,card_expired,0.6312,0
496934,0,10,3,273,1,1,17,1,card,checkout_abandoned,0.415,0
4184747,2,12,2,301,2,1,17,0,card,user_abandoned,0.485,0
1637861,4,4,2,8,2,2,6,0,upi,card_expired,0.36,0
973266,2,0,1,208,3,0,15,5,netbanking,temporary_gateway_issue,0.455,0
251836,3,11,2,125,0,0,5,5,upi,gateway_error,0.51,1
2974920,5,10,2,123,0,0,15,2,upi,gateway_error,0.6683,0
3403943,2,16,0,33,4,4,15,4,upi,insufficient_funds,0.5861,0
132109,3,3,1,1,2,0,22,0,upi,unknown,0.48,1
2584860,5,14,3,204,2,0,23,6,card,card_expired,0.2229,0
1171154,4,8,1,6,1,0,0,2,card,user_abandoned,0.5383,0
3243605,4,19,0,297,0,0,23,4,wallet,temporary_gateway_issue,0.8641,1
913113,0,18,2,5,1,1,18,1,upi,timeout,0.935,1
3470141,3,18,3,80,3,1,2,5,unknown,user_abandoned,0.165,0
1964339,3,11,1,274,4,1,5,6,card,insufficient_funds,0.13,0
4686813,1,4,2,177,1,1,3,0,upi,insufficient_funds,0.115,1
730728,1,9,1,338,0,0,3,2,netbanking,card_expired,0.32,1
1738278,5,16,3,321,3,1,3,1,card,insufficient_funds,0.05,0
611693,5,4,1,339,2,2,9,3,upi,unknown,0.4606,0
4627233,1,15,1,136,3,1,8,1,netbanking,insufficient_funds,0.3831,1
4392829,5,6,1,25,1,0,7,2,card,gateway_error,0.6459,1
1326811,2,8,2,325,0,0,18,5,card,insufficient_funds,0.365,0
3316921,1,2,3,183,1,0,16,4,netbanking,gateway_error,0.4483,1
4095249,3,14,3,168,2,2,16,6,upi,insufficient_funds,0.2032,0
2798244,2,15,2,338,2,1,0,6,card,gateway_error,0.6438,0
2671770,5,17,2,178,0,0,19,3,card,checkout_abandoned,0.6055,1
1247168,4,13,2,95,4,1,13,6,upi,user_abandoned,0.5526,1
510858,0,2,0,33,3,3,21,3,upi,gateway_error,0.95,1
4491218,1,11,1,111,3,3,19,5,netbanking,gateway_error,0.9258,1
4507069,4,8,1,146,2,1,10,3,upi,insufficient_funds,0.3883,1
3183852,5,6,3,231,1,1,2,0,card,card_expired,0.05,0
1728197,3,8,1,272,1,1,23,2,wallet,gateway_error,0.7095,0
1778587,0,12,0,336,4,2,7,6,upi,gateway_error,0.95,1
3643480,4,17,2,38,1,1,21,3,upi,insufficient_funds,0.4683,0
4490695,0,4,3,135,3,2,9,1,upi,timeout,0.665,1
4441077,1,12,3,334,1,0,16,4,card,gateway_error,0.5381,1
3910383,5,3,1,235,4,2,7,2,wallet,card_expired,0.3362,0
3228056,3,1,3,319,3,2,21,5,card,unknown,0.2025,0
466492,5,15,2,345,1,1,0,6,upi,gateway_error,0.6975,0
850062,0,8,3,160,3,1,19,1,card,insufficient_funds,0.315,0
4497843,4,8,2,38,2,0,20,0,card,gateway_error,0.7183,1
3051823,1,5,0,150,2,0,6,3,upi,gateway_error,0.95,1
95525,1,10,0,308,2,0,23,1,card,gateway_error,0.8932,1
552284,5,0,2,29,1,1,8,2,upi,insufficient_funds,0.05,1
3334333,4,3,1,144,4,4,11,6,netbanking,user_abandoned,0.455,0
75054,4,12,3,76,3,0,21,1,upi,insufficient_funds,0.3275,0
845999,0,12,1,145,0,0,8,0,upi,gateway_error,0.905,1
2766232,5,12,3,229,2,1,19,4,netbanking,gateway_error,0.6121,0
3474881,5,1,0,64,2,0,23,3,card,insufficient_funds,0.2333,0
3277208,2,8,0,347,0,0,2,2,upi,gateway_error,0.755,1
1160133,5,7,0,345,0,0,3,6,wallet,temporary_gateway_issue,0.5792,0
3575287,1,6,3,269,1,1,9,3,card,insufficient_funds,0.115,0
1224382,0,3,0,328,3,3,3,3,upi,checkout_abandoned,0.675,0
1660728,4,17,0,184,2,2,21,5,card,gateway_error,0.95,1
3745132,5,2,0,261,4,2,8,3,netbanking,timeout,0.675,1
3265682,0,5,0,268,1,0,21,1,card,gateway_error,0.95,1
4253655,5,11,1,169,1,1,0,1,upi,timeout,0.7956,1
3305183,4,11,0,259,4,3,4,4,card,insufficient_funds,0.2317,0
2863127,3,7,0,227,4,3,8,0,card,user_abandoned,0.67,1
513690,4,0,1,33,4,2,4,6,netbanking,insufficient_funds,0.05,0
1870193,4,3,1,214,0,0,5,6,upi,temporary_gateway_issue,0.505,0
1362751,4,10,3,50,2,2,18,2,card,gateway_error,0.615,0
1257748,5,2,2,210,0,0,7,1,upi,gateway_error,0.535,1
4866402,2,12,0,29,2,2,9,3,card,insufficient_funds,0.475,0
1995833,4,16,0,39,0,0,10,0,wallet,user_abandoned,0.705,1
4465630,1,9,0,347,3,2,12,2,upi,insufficient_funds,0.59,1
3174136,1,11,3,100,2,1,19,6,upi,card_expired,0.5358,0
3984315,0,14,0,173,1,1,3,2,card,temporary_gateway_issue,0.725,1
2538053,2,9,2,17,2,2,10,2,card,insufficient_funds,0.2214,1
2905674,0,13,1,56,2,1,11,6,upi,temporary_gateway_issue,0.905,1
2487962,1,12,3,226,2,1,4,2,card,gateway_error,0.3381,0
1016452,1,4,1,46,3,3,9,4,netbanking,insufficient_funds,0.335,1
3626137,3,5,0,67,0,0,23,2,card,card_expired,0.5437,0
1439823,4,1,0,197,1,0,6,0,card,temporary_gateway_issue,0.645,0
170364,1,16,0,142,0,0,20,1,upi,timeout,0.95,1
3245087,5,3,2,323,0,0,8,0,wallet,card_expired,0.2162,0
926697,5,13,2,23,4,2,8,3,upi,temporary_gateway_issue,0.6878,1
4705269,0,9,3,94,3,1,9,5,upi,card_expired,0.415,1
4771946,0,2,1,242,4,2,9,4,upi,temporary_gateway_issue,0.905,1
4578578,4,2,0,237,3,2,1,4,card,temporary_gateway_issue,0.4917,1
1882285,4,14,0,54,0,0,3,3,netbanking,gateway_error,0.6472,1
126510,3,5,0,138,0,0,7,6,upi,gateway_error,0.8937,1
4645176,2,16,0,333,3,2,13,0,netbanking,card_expired,0.6361,1
2169511,0,11,2,272,0,0,16,0,netbanking,user_abandoned,0.535,0
4834941,4,19,1,41,0,0,12,3,card,gateway_error,0.7441,0
4819918,0,10,1,98,1,0,20,6,netbanking,gateway_error,0.95,1
4272396,4,3,3,183,4,0,23,5,upi,temporary_gateway_issue,0.465,0
1507522,1,5,2,128,4,0,17,2,upi,timeout,0.7267,1
1956233,0,0,0,229,4,4,17,6,netbanking,temporary_gateway_issue,0.75,1
4263126,1,19,1,317,2,0,12,2,upi,insufficient_funds,0.4875,0
1618763,0,15,1,86,1,1,7,1,upi,card_expired,0.655,1
888989,2,14,2,256,4,1,11,0,card,insufficient_funds,0.2412,0
2806166,3,16,3,209,4,1,22,0,netbanking,unknown,0.2597,0
4683966,5,7,3,215,1,1,23,3,card,temporary_gateway_issue,0.4192,0
3495347,5,11,0,100,0,0,20,3,upi,unknown,0.8156,1
2871802,5,9,3,49,4,4,0,2,upi,gateway_error,0.54,1
531023,1,14,1,201,0,0,19,6,netbanking,gateway_error,0.9317,1
3094285,4,8,3,258,4,1,17,0,upi,card_expired,0.2983,0
4950766,5,1,0,178,3,3,2,0,upi,card_expired,0.2833,1
743415,2,4,1,245,2,0,11,4,upi,user_abandoned,0.6383,0
2615731,5,5,3,123,4,2,18,1,card,temporary_gateway_issue,0.54,0
4392996,0,6,3,342,3,0,12,1,upi,checkout_abandoned,0.515,0
3716804,1,0,2,171,1,1,9,2,upi,gateway_error,0.435,0
3500227,0,6,0,333,3,3,14,5,upi,gateway_error,0.95,1
3527296,0,19,3,136,1,1,19,6,upi,temporary_gateway_issue,0.815,1
1829481,0,11,2,59,4,3,1,0,upi,card_expired,0.335,1
1503279,3,15,1,193,1,1,18,4,card,timeout,0.8967,1
4056337,3,15,2,268,3,1,2,6,card,insufficient_funds,0.05,0
4060061,4,10,2,260,2,2,13,0,upi,temporary_gateway_issue,0.685,1
4342007,1,3,3,95,0,0,6,3,upi,gateway_error,0.5775,1
4570540,2,12,3,125,0,0,7,6,upi,temporary_gateway_issue,0.615,0
2581144,2,6,3,41,2,0,10,2,upi,insufficient_funds,0.1775,0
2532505,2,3,2,254,0,0,21,6,upi,timeout,0.795,0
4001561,0,14,1,7,4,1,19,5,upi,timeout,0.95,1
3267321,3,18,0,216,4,1,5,6,upi,checkout_abandoned,0.625,0
3524736,1,8,2,69,3,1,10,6,unknown,gateway_error,0.6461,1
3989173,0,10,3,69,3,2,16,6,upi,temporary_gateway_issue,0.665,0
4455526,3,7,0,81,1,1,9,1,wallet,insufficient_funds,0.42,1
1723076,3,0,1,30,3,0,23,0,upi,timeout,0.555,0
1909135,5,7,0,73,4,0,16,5,upi,insufficient_funds,0.4792,0
515210,5,12,3,262,3,3,20,2,netbanking,checkout_abandoned,0.4621,0
2912486,1,3,2,89,0,0,1,1,upi,timeout,0.4975,0
227914,1,7,2,208,1,0,5,0,upi,gateway_error,0.5412,1
2354710,1,2,3,213,1,1,4,4,wallet,gateway_error,0.2483,0
2736090,0,8,2,322,4,0,3,2,card,card_expired,0.235,0
1468379,4,1,3,266,3,3,1,0,upi,card_expired,0.05,0
2974624,1,1,2,293,0,0,11,1,upi,gateway_error,0.61,0
200976,5,12,2,207,3,1,2,1,wallet,gateway_error,0.3821,0
234873,4,14,2,333,2,2,5,4,netbanking,insufficient_funds,0.05,0
4121872,0,11,1,77,3,2,23,2,upi,timeout,0.905,1
1832943,4,3,1,288,4,1,13,2,upi,gateway_error,0.705,1
678949,2,7,3,47,3,2,7,5,netbanking,insufficient_funds,0.0872,0
2635104,4,8,1,110,1,0,20,0,upi,temporary_gateway_issue,0.9383,1
3861468,1,4,3,200,0,0,20,5,upi,checkout_abandoned,0.595,0
1118314,0,19,0,210,4,3,13,1,card,gateway_error,0.925,1
3133307,1,17,0,154,2,1,2,1,upi,card_expired,0.5556,1
472469,5,10,1,10,0,0,15,6,card,insufficient_funds,0.2883,0
305824,2,14,0,353,0,0,14,4,netbanking,gateway_error,0.8812,1
2680205,5,8,0,157,1,0,6,4,netbanking,insufficient_funds,0.3904,1
2726143,1,16,2,261,1,0,14,2,upi,gateway_error,0.7644,1
3205278,1,11,2,77,1,0,12,5,upi,timeout,0.7558,0
3644152,1,6,3,257,4,3,5,1,upi,insufficient_funds,0.05,0
4880467,3,9,0,131,3,2,14,6,upi,gateway_error,0.9375,1
2605686,2,9,3,67,0,0,16,0,upi,gateway_error,0.6014,0
1648634,1,12,3,228,3,2,3,6,upi,card_expired,0.1881,1
3986171,1,18,0,163,3,1,21,3,upi,temporary_gateway_issue,0.95,1
1390619,5,10,1,15,1,0,21,0,upi,insufficient_funds,0.5383,1
2222908,5,12,0,232,3,2,13,4,upi,temporary_gateway_issue,0.9221,1
438359,1,7,2,195,0,0,14,0,card,checkout_abandoned,0.4912,1
175486,0,7,0,349,0,0,11,1,card,insufficient_funds,0.525,1
4815109,3,3,1,30,2,0,18,5,upi,timeout,0.88,1
4188101,5,14,3,359,4,4,21,6,card,gateway_error,0.6229,1
3495072,0,10,3,338,3,3,9,2,card,gateway_error,0.565,1
2074317,3,10,2,331,4,0,5,5,upi,temporary_gateway_issue,0.5042,1
907806,1,0,2,316,4,1,8,3,upi,temporary_gateway_issue,0.435,0
824363,2,16,2,296,4,0,1,2,card,timeout,0.4461,0
1288702,4,14,3,330,4,2,3,3,upi,insufficient_funds,0.05,0
2768671,4,19,2,220,0,0,8,3,upi,temporary_gateway_issue,0.7241,1
3587249,1,5,0,147,3,3,14,1,unknown,timeout,0.8667,0
3317977,5,14,3,259,2,2,12,1,upi,gateway_error,0.5729,1
1435672,0,8,1,292,4,4,19,4,card,gateway_error,0.95,1
4776583,2,13,3,299,2,1,7,4,upi,user_abandoned,0.4683,1
3702589,3,17,0,143,0,0,18,3,upi,insufficient_funds,0.7225,0
2794052,1,16,0,235,0,0,18,5,upi,timeout,0.95,1
3078017,2,17,2,115,1,0,15,4,card,temporary_gateway_issue,0.6482,1
2127020,2,4,3,90,4,0,10,1,upi,temporary_gateway_issue,0.5483,1
1276268,5,19,3,208,1,0,9,4,upi,gateway_error,0.5921,0
1812064,3,19,3,164,2,0,7,3,wallet,user_abandoned,0.3673,1
3801338,2,8,1,84,3,3,0,6,upi,insufficient_funds,0.435,0
121247,5,10,2,77,1,1,9,2,upi,gateway_error,0.6683,1
624559,0,0,0,161,0,0,17,5,upi,user_abandoned,0.7,1
277713,5,17,0,5,4,1,2,5,card,insufficient_funds,0.2455,1
251607,0,5,2,78,2,1,10,0,upi,card_expired,0.535,0
4284529,0,1,0,91,0,0,17,4,upi,gateway_error,0.95,1
3533106,2,14,0,87,3,3,2,5,upi,gateway_error,0.7812,1
2397160,5,13,2,270,4,0,7,6,upi,gateway_error,0.6878,1
534279,0,4,0,104,3,0,13,6,card,gateway_error,0.925,0
2483498,3,5,3,339,3,0,5,1,card,card_expired,0.05,0
2393685,2,5,1,175,4,4,14,2,upi,card_expired,0.555,1
907349,5,17,2,54,4,2,13,1,upi,timeout,0.7055,1
2197565,5,13,1,211,3,2,6,4,upi,user_abandoned,0.6578,1
2022598,4,9,0,95,2,0,9,3,card,gateway_error,0.8173,1
3098457,5,13,0,223,4,2,14,6,upi,checkout_abandoned,0.7778,1
3193713,2,12,3,9,0,0,9,6,upi,checkout_abandoned,0.465,1
274254,3,2,2,53,1,0,21,0,unknown,insufficient_funds,0.225,0
1904332,5,5,0,77,2,1,16,0,upi,gateway_error,0.85,1
3148006,4,7,2,206,4,3,18,6,unknown,card_expired,0.4577,0
2540524,2,11,2,316,4,4,16,2,upi,temporary_gateway_issue,0.7312,0
4289624,0,12,2,302,2,2,11,5,upi,card_expired,0.535,0
3310533,1,10,2,310,1,0,14,5,upi,gateway_error,0.7532,1
856525,1,11,2,330,3,0,11,6,upi,insufficient_funds,0.3558,0
399315,0,0,1,112,0,0,8,5,upi,insufficient_funds,0.33,0
3229975,5,16,3,351,4,1,4,0,upi,gateway_error,0.3817,0
181230,1,15,2,165,1,0,3,3,wallet,temporary_gateway_issue,0.4631,0
2949589,1,10,1,279,0,0,11,5,upi,gateway_error,0.8732,1
4704139,0,12,0,27,2,1,15,1,card,insufficient_funds,0.525,1
2898597,5,17,2,70,4,2,8,6,card,user_abandoned,0.4555,0
1971441,5,10,0,218,3,3,2,5,card,temporary_gateway_issue,0.6083,0
3234276,0,11,2,189,2,1,20,3,card,card_expired,0.585,1
2318351,5,5,1,333,4,1,2,6,upi,gateway_error,0.53,0
2750803,5,8,1,306,1,0,17,2,upi,timeout,0.7704,0
4710250,2,15,1,124,0,0,16,2,upi,checkout_abandoned,0.7138,1
1961208,2,3,3,19,0,0,9,0,upi,temporary_gateway_issue,0.525,1
4807893,0,2,0,257,4,0,1,3,upi,checkout_abandoned,0.675,1
4531485,3,15,3,296,2,0,23,1,upi,insufficient_funds,0.2067,0
1019166,1,11,2,22,3,3,10,3,wallet,temporary_gateway_issue,0.6558,0
393338,2,10,0,40,1,0,23,1,wallet,user_abandoned,0.7167,1
548851,1,4,1,38,4,3,2,1,upi,gateway_error,0.635,0
140198,4,17,0,48,1,0,22,3,upi,gateway_error,0.95,1
517492,0,18,1,183,0,0,22,6,upi,insufficient_funds,0.505,1
3430883,3,5,3,75,3,0,1,4,upi,card_expired,0.0837,0
402383,4,17,3,209,1,1,8,3,upi,card_expired,0.3483,0
1628929,4,5,1,183,4,3,18,6,wallet,gateway_error,0.7994,1
4232132,5,3,1,107,3,3,1,1,upi,unknown,0.2362,0
165196,4,11,2,188,2,0,18,6,upi,card_expired,0.5917,1
4081618,0,18,3,264,4,4,1,6,upi,checkout_abandoned,0.315,0
1445181,2,1,3,86,1,1,14,5,unknown,temporary_gateway_issue,0.3317,1
